Año,Trimestre,Provincia,Mbps (Media de bajada)
2018,1,JUJUY,6.74
2018,1,LA PAMPA,4.0
2018,1,LA RIOJA,5.89
2018,1,MENDOZA,5.88
2018,1,MISIONES,12.08
2018,1,NEUQUEN,11.96
2018,1,RIO NEGRO,8.98
2018,1,SALTA,9.19
2018,1,SAN JUAN,5.85
2018,1,SAN LUIS,5.89
2018,1,SANTA CRUZ,5.19
2018,1,SANTA FE,11.17
2018,1,SANTIAGO DEL ESTERO,6.25
2018,1,TIERRA DEL FUEGO,5.77
2018,1,TUCUMAN,9.36
2017,4,BUENOS AIRES,12.97
2017,4,CAPITAL FEDERAL,15.2
2017,4,CATAMARCA,7.78
2017,4,CHACO,11.7
2017,4,CHUBUT,5.41
2017,4,CORDOBA,11.64
2017,4,CORRIENTES,10.38
2017,4,ENTRE RIOS,9.3
2017,4,FORMOSA,10.11
2017,4,JUJUY,6.64
2017,4,LA PAMPA,3.98
2017,4,LA RIOJA,5.88
2017,4,MENDOZA,5.71
2017,4,MISIONES,11.32
2017,4,NEUQUEN,10.72
2017,4,RIO NEGRO,8.05
2017,4,SALTA,8.45
2017,4,SAN JUAN,5.83
2017,4,SAN LUIS,5.73
2017,4,SANTA CRUZ,5.21
2017,4,SANTA FE,10.3
2017,4,SANTIAGO DEL ESTERO,6.17
2017,4,TIERRA DEL FUEGO,5.2
2017,4,TUCUMAN,9.11
2017,3,BUENOS AIRES,8.43
2017,3,CAPITAL FEDERAL,10.64
2017,3,CATAMARCA,5.26
2017,3,CHACO,8.48
2017,3,CHUBUT,3.48
2017,3,CORDOBA,9.12
2017,3,CORRIENTES,7.45
2017,3,ENTRE RIOS,6.99
2017,3,FORMOSA,7.07
2017,3,JUJUY,4.69
2017,3,LA PAMPA,3.44
2017,3,LA RIOJA,5.01
2017,3,MENDOZA,3.51
2017,3,MISIONES,8.43
2017,3,NEUQUEN,8.17
2017,3,RIO NEGRO,5.49
2017,3,SALTA,6.13
2017,3,SAN JUAN,3.45
2017,3,SAN LUIS,3.5
2017,3,SANTA CRUZ,3.61
2017,3,SANTA FE,7.79
2017,3,SANTIAGO DEL ESTERO,5.18
2017,3,TIERRA DEL FUEGO,3.48
2017,3,TUCUMAN,6.39
2017,2,BUENOS AIRES,7.2
2017,2,CAPITAL FEDERAL,8.84
2017,2,CATAMARCA,5.1
2017,2,CHACO,7.69
2017,2,CHUBUT,3.45
2017,2,CORDOBA,7.42
2017,2,CORRIENTES,6.79
2017,2,ENTRE RIOS,6.29
2017,2,FORMOSA,6.18
2017,2,JUJUY,4.54
2017,2,LA PAMPA,3.32
2017,2,LA RIOJA,5.53
2017,2,MENDOZA,3.51
2017,2,MISIONES,7.6
2017,2,NEUQUEN,6.7
2017,2,RIO NEGRO,4.74
2017,2,SALTA,5.76
2017,2,SAN JUAN,3.49
2017,2,SAN LUIS,3.5
2017,2,SANTA CRUZ,3.6
2017,2,SANTA FE,6.84
2017,2,SANTIAGO DEL ESTERO,5.06
2017,2,TIERRA DEL FUEGO,3.48
2017,2,TUCUMAN,6.09
2017,1,BUENOS AIRES,6.68
2017,1,CAPITAL FEDERAL,8.35
2017,1,CATAMARCA,4.97
2017,1,CHACO,7.31
2017,1,CHUBUT,3.44
2017,1,CORDOBA,6.8
2017,1,CORRIENTES,6.43
2017,1,ENTRE RIOS,5.95
2017,1,FORMOSA,5.74
2017,1,JUJUY,4.39
2017,1,LA PAMPA,3.22
2017,1,LA RIOJA,5.43
2017,1,MENDOZA,3.51
2017,1,MISIONES,7.34
2017,1,NEUQUEN,6.03
2017,1,RIO NEGRO,4.45
2017,1,SALTA,5.34
2017,1,SAN JUAN,3.49
2017,1,SAN LUIS,3.5
2017,1,SANTA CRUZ,3.59
2017,1,SANTA FE,6.28
2017,1,SANTIAGO DEL ESTERO,4.95
2017,1,TIERRA DEL FUEGO,3.48
2017,1,TUCUMAN,5.88
2016,4,BUENOS AIRES,6.35
2016,4,CAPITAL FEDERAL,7.96
2016,4,CATAMARCA,4.89
2016,4,CHACO,7.08
2016,4,CHUBUT,3.41
2016,4,CORDOBA,6.47
2016,4,CORRIENTES,6.24
2016,4,ENTRE RIOS,5.81
2016,4,FORMOSA,5.63
2016,4,JUJUY,4.32
2016,4,LA PAMPA,3.19
2016,4,LA RIOJA,5.34
2016,4,MENDOZA,3.51
2016,4,MISIONES,7.11
2016,4,NEUQUEN,5.68
2016,4,RIO NEGRO,4.37
2016,4,SALTA,5.22
2016,4,SAN JUAN,3.49
