Año,Trimestre,Provincia,Accesos TV por suscripción (en miles)
2016,4,SAN JUAN,39.85
2016,4,SAN LUIS,54.34
2016,4,SANTA CRUZ,50.92
2016,4,SANTA FE,617.12
2016,4,SANTIAGO DEL ESTERO,98.02
2016,4,TIERRA DEL FUEGO,38.71
2016,4,TUCUMAN,124.21
2016,3,BUENOS AIRES,2521.02
2016,3,CAPITAL FEDERAL,716.76
2016,3,CATAMARCA,29.76
2016,3,CHACO,90.19
2016,3,CHUBUT,72.69
2016,3,CORDOBA,1011.26
2016,3,CORRIENTES,92.78
2016,3,ENTRE RIOS,155.48
2016,3,FORMOSA,46.37
2016,3,JUJUY,84.55
2016,3,LA PAMPA,90.88
2016,3,LA RIOJA,24.6
2016,3,MENDOZA,116.33
2016,3,MISIONES,122.5
2016,3,NEUQUEN,110.92
2016,3,RIO NEGRO,54.5
2016,3,SALTA,172.48
2016,3,SAN JUAN,42.36
2016,3,SAN LUIS,54.08
2016,3,SANTA CRUZ,51.19
2016,3,SANTA FE,614.63
2016,3,SANTIAGO DEL ESTERO,99.07
2016,3,TIERRA DEL FUEGO,38.59
2016,3,TUCUMAN,125.38
2016,2,BUENOS AIRES,2516.81
2016,2,CAPITAL FEDERAL,717.93
2016,2,CATAMARCA,29.64
2016,2,CHACO,94.32
2016,2,CHUBUT,72.83
2016,2,CORDOBA,1005.62
2016,2,CORRIENTES,92.71
2016,2,ENTRE RIOS,155.11
2016,2,FORMOSA,46.38
2016,2,JUJUY,85.29
2016,2,LA PAMPA,89.65
2016,2,LA RIOJA,24.38
2016,2,MENDOZA,116.16
2016,2,MISIONES,122.26
2016,2,NEUQUEN,111.02
2016,2,RIO NEGRO,54.75
2016,2,SALTA,174.34
2016,2,SAN JUAN,42.41
2016,2,SAN LUIS,53.96
2016,2,SANTA CRUZ,51.72
2016,2,SANTA FE,615.21
