Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2020,1,CATAMARCA,29743,26683,2385,132,543
2020,1,CHACO,84041,75394,6740,372,1535
2020,1,CHUBUT,78692,70596,6311,348,1437
2020,1,CORDOBA,574075,515015,46037,2539,10484
2020,1,CORRIENTES,87649,78631,7029,388,1601
2020,1,ENTRE RIOS,186835,167614,14983,826,3412
2020,1,FORMOSA,34562,31006,2772,153,631
2020,1,JUJUY,47985,43049,3848,212,876
2020,1,LA PAMPA,70733,63456,5672,313,1292
2020,1,LA RIOJA,27079,24292,2172,120,495
2020,1,MENDOZA,210725,189045,16899,932,3849
2020,1,MISIONES,90832,81487,7284,402,1659
2020,1,NEUQUEN,77487,69515,6214,343,1415
2020,1,RIO NEGRO,88260,79180,7078,390,1612
2020,1,SALTA,107506,96447,8621,475,1963
2020,1,SAN JUAN,78502,70426,6295,347,1434
2020,1,SAN LUIS,36334,32595,2914,161,664
2020,1,SANTA CRUZ,29360,26340,2354,130,536
2020,1,SANTA FE,624563,560308,50086,2762,11407
2020,1,SANTIAGO DEL ESTERO,67237,60320,5392,297,1228
2020,1,TIERRA DEL FUEGO,23550,21127,1889,104,430
2020,1,TUCUMAN,182424,163656,14629,807,3332
2019,4,BUENOS AIRES,3348525,2994702,266943,14902,71978
2019,4,CAPITAL FEDERAL,1478871,1322606,117895,6581,31789
2019,4,CATAMARCA,31113,27826,2480,138,669
2019,4,CHACO,86928,77742,6930,387,1869
2019,4,CHUBUT,81784,73142,6520,364,1758
2019,4,CORDOBA,604424,540558,48184,2690,12992
2019,4,CORRIENTES,89969,80463,7172,400,1934
2019,4,ENTRE RIOS,191513,171277,15267,852,4117
2019,4,FORMOSA,35319,31587,2816,157,759
2019,4,JUJUY,49460,44234,3943,220,1063
2019,4,LA PAMPA,71332,63795,5687,317,1533
2019,4,LA RIOJA,28349,25354,2260,126,609
2019,4,MENDOZA,218661,195556,17432,973,4700
2019,4,MISIONES,93753,83847,7474,417,2015
2019,4,NEUQUEN,78963,70620,6295,351,1697
2019,4,RIO NEGRO,91113,81486,7263,405,1959
2019,4,SALTA,110873,99158,8839,493,2383
2019,4,SAN JUAN,80524,72016,6419,358,1731
2019,4,SAN LUIS,37794,33801,3013,168,812
2019,4,SANTA CRUZ,30409,27196,2424,135,654
2019,4,SANTA FE,643060,575111,51264,2862,13823
2019,4,SANTIAGO DEL ESTERO,68405,61178,5453,304,1470
2019,4,TIERRA DEL FUEGO,24283,21717,1936,108,522
2019,4,TUCUMAN,187391,167590,14939,834,4028
2019,3,BUENOS AIRES,3414932,3058655,268169,14853,73255
2019,3,CAPITAL FEDERAL,1497396,1341174,117588,6513,32121
2019,3,CATAMARCA,32676,29267,2566,142,701
2019,3,CHACO,88269,79060,6932,384,1893
2019,3,CHUBUT,83907,75153,6589,365,1800
2019,3,CORDOBA,612366,548479,48088,2663,13136
2019,3,CORRIENTES,91158,81648,7159,396,1955
2019,3,ENTRE RIOS,194253,173987,15254,845,4167
2019,3,FORMOSA,35966,32214,2824,156,772
2019,3,JUJUY,50113,44885,3935,218,1075
2019,3,LA PAMPA,63774,57121,5008,277,1368
2019,3,LA RIOJA,29547,26464,2320,129,634
2019,3,MENDOZA,225668,202124,17721,982,4841
2019,3,MISIONES,95865,85864,7528,417,2056
2019,3,NEUQUEN,80350,71967,6310,349,1724
2019,3,RIO NEGRO,94207,84378,7398,410,2021
2019,3,SALTA,113707,101844,8929,495,2439
2019,3,SAN JUAN,82462,73858,6476,359,1769
2019,3,SAN LUIS,39274,35177,3084,171,842
2019,3,SANTA CRUZ,32023,28682,2515,139,687
2019,3,SANTA FE,647965,580363,50884,2818,13900
2019,3,SANTIAGO DEL ESTERO,69371,62133,5448,302,1488
2019,3,TIERRA DEL FUEGO,25143,22521,1974,109,539
2019,3,TUCUMAN,192297,172235,15101,836,4125
2019,2,BUENOS AIRES,3348525,2994702,266943,14902,71978
2019,2,CAPITAL FEDERAL,1478871,1322606,117895,6581,31789
2019,2,CATAMARCA,31113,27826,2480,138,669
2019,2,CHACO,86928,77742,6930,387,1869
2019,2,CHUBUT,81784,73142,6520,364,1758
2019,2,CORDOBA,604424,540558,48184,2690,12992
2019,2,CORRIENTES,89969,80463,7172,400,1934
